Input.image,Linearly-vs-Painterly,Planar-vs-Recessional,closed-form-vs-open-form,multiplicity-vs-unity,absolute-clarity-vs-relative-clarity
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1001_st-margaret-1518.jpg,0.55,0.65,0.3,0.2,0.05
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1002_sts-mark-james-and-jerome-with-the-dead-christ-borne-by-angels-1582.jpg!Blog.jpg,0.65,0.7,0.3,1.0,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1002_the-painter-jan-asselyn-1650.jpg!Blog.jpg,0.95,0.3,0.2,0.25,0.05
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1002_triptych-of-camerino-1482.jpg!Blog.jpg,0.55,0.05,0.2,0.45,0.75
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/10046_railway-junction-near-bois-colombes-1886.jpg!Blog.jpg,0.75,0.45,0.75,0.65,0.6
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/10051_saint-briac-courtyard-of-the-ville-hue-1885.jpg!Blog.jpg,0.75,0.85,0.85,0.8,0.6
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1009_study-for-the-disputa-1509.jpg!Blog.jpg,0.85,1.0,0.65,0.95,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/100_baptism-of-christ-1584.jpg!Blog.jpg,0.6,0.65,0.85,0.85,0.7
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1010_caroline-duchess-of-marlborough-1762.jpg!Blog.jpg,0.95,0.4,0.35,0.45,0.2
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/10179_the-boy-at-the-fence-1915.jpg!Blog.jpg,1.0,0.65,0.85,0.55,0.45
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1017_study-for-the-harvest-at-montfoucault-1879.jpg!Blog.jpg,0.8,0.6,0.65,0.85,0.65
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/101_nativity-1441.jpg!Blog.jpg,0.4,0.15,0.0,0.35,0.55
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1021_portrait-of-ye-p-zhdanovich-1847.jpg!Blog.jpg,0.45,0.3,0.45,0.05,0.15
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1021_the-annunciation-1503.jpg!Blog.jpg,0.45,0.3,0.15,0.4,0.7
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/10228_smith-1933.jpg!Blog.jpg,0.9,0.45,0.3,0.55,0.05
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/10236_april-landscape-1944.jpg!Blog.jpg,0.75,0.75,0.75,0.8,0.75
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1023_cupid-unfastening-the-girdle-of-venus-1788.jpg!Blog.jpg,0.85,0.6,0.75,0.8,0.35
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1025_seated-figures-1967.jpg!Blog.jpg,0.65,0.55,0.35,0.15,0.45
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1025_still-life-of-fruit-in-a-wan-li-bowl-1607.jpg!Blog.jpg,0.65,0.5,0.25,0.65,0.45
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1026_still-life-with-artichokes-1610.jpg!Blog.jpg,0.2,0.7,0.55,0.45,0.85
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/10277_in-the-mountains-1962.jpg!Blog.jpg,0.65,0.95,0.8,0.8,0.7
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1027_portrait-of-madame-redon-embroidering-1880.jpg!Blog.jpg,0.95,0.55,0.35,0.5,0.35
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1028_still-life-with-oysters-and-pastries-1610.jpg!Blog.jpg,0.65,0.7,0.85,0.35,0.65
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1031_adoration-of-the-shepherds-1618.jpg!Blog.jpg,0.35,0.15,0.65,0.6,0.75
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1032_unfaithfulness-1570.jpg!Blog.jpg,0.45,0.55,0.7,0.5,0.75
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/10359_the-happy-day-1892.jpg!Blog.jpg,0.85,0.65,0.7,0.75,0.95
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1039_the-guards-outside-the-prison-detail-from-the-liberation-of-st-peter-in-the-stanza-d-eliodoro-1514.jpg!Blog.jpg,0.7,0.6,0.5,0.65,0.85
