Input.image,multiplicity-vs-unity,absolute-vs-relative,linearly-vs-painterly,planar-vs-recessional,closed-form-vs-open-form
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000005.png,0.45,0.9,0.8,0.45,0.75
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000018.png,0.6,0.65,0.85,0.55,0.75
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000043.png,0.55,0.55,0.55,0.5,0.55
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000051.png,0.6,1.0,0.4,0.4,0.5
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000052.png,0.6,0.8,0.85,0.3,0.55
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000054.png,0.75,0.65,0.85,0.95,0.8
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000065.png,0.5,0.75,0.5,0.2,0.5
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000071.png,0.7,0.7,0.8,0.65,0.85
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000077.png,0.85,0.75,0.8,0.8,0.7
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000092.png,0.45,0.8,0.8,0.15,0.75
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000093.png,0.4,0.4,0.75,0.6,0.3
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000098.png,0.55,0.85,0.8,0.6,0.65
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000101.png,0.55,0.65,0.55,0.25,0.5
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000129.png,0.7,0.55,0.8,0.55,0.5
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000133.png,0.55,0.8,0.85,0.6,0.55
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000151.png,0.4,0.7,0.75,0.35,0.55
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000165.png,0.7,0.55,0.9,0.4,0.45
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000166.png,0.55,0.8,0.8,0.65,0.65
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000168.png,0.45,0.7,0.8,0.85,0.65
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000175.png,0.35,0.5,0.35,0.1,0.6
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000179.png,0.7,0.75,0.7,0.3,0.65
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000185.png,0.85,0.7,0.85,0.65,0.7
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000187.png,0.85,0.55,0.95,0.5,0.9
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000198.png,0.55,0.55,0.95,0.7,0.8
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000208.png,0.5,0.65,0.6,0.2,0.55
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000220.png,0.65,0.75,0.9,0.3,0.35
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000225.png,0.6,0.75,0.9,0.65,0.65
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000230.png,0.65,0.4,0.7,0.45,0.5
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000236.png,0.7,0.8,0.65,0.4,0.55
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000237.png,0.45,0.45,0.7,0.65,0.7
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000254.png,0.45,0.6,0.4,0.5,0.4
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000259.png,0.8,0.5,0.85,0.35,0.3
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000261.png,0.75,0.95,0.8,0.65,0.8
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000268.png,0.45,0.7,0.75,0.8,0.75
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000276.png,0.65,0.7,0.7,0.75,0.4
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000280.png,0.35,0.55,0.7,0.25,0.5
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000303.png,0.6,0.7,0.7,0.4,0.65
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000311.png,0.45,0.8,0.9,0.4,0.55
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000316.png,0.3,0.8,0.8,0.85,0.7
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000331.png,0.7,0.8,0.7,0.6,0.75
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000337.png,0.55,0.75,0.6,0.45,0.35
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000339.png,0.75,0.65,0.85,0.6,0.55
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000366.png,0.65,0.7,0.55,0.2,0.6
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000378.png,0.7,0.45,0.95,0.6,0.8
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000399.png,0.75,0.8,0.9,0.6,0.75
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000406.png,0.7,0.85,0.6,0.5,0.65
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000423.png,0.75,0.75,0.8,0.7,0.7
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000428.png,0.7,0.85,0.85,0.75,0.7
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000430.png,0.6,0.7,0.6,0.85,0.5
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000454.png,0.4,0.3,0.65,0.65,0.35
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000461.png,0.75,0.6,0.65,0.35,0.5
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000469.png,0.6,0.5,0.75,0.8,0.75
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000493.png,0.45,0.85,0.95,0.35,0.45
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000533.png,0.4,0.8,0.75,0.5,0.55
