,Input.image,Input.image,absolute-clarity-vs-relative-clarity,multiplicity-vs-unity,Linearly-vs-Painterly,Planar-vs-Recessional,closed-form-vs-open-form,amusement,anger,awe,contentment,disgust,excitement,fear,sadness,something else,overall_negative,overall_positive,overall_something
0,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000005.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000005.png,0.8,0.55,1.0,0.85,0.8,0,0,0,0,2,0,2,0,1,1,0,0
1,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000014.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000014.png,0.75,0.5,0.9,0.55,0.85,0,0,2,1,1,1,0,0,0,0,1,0
2,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000020.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000020.png,0.8,0.5,0.85,0.4,0.75,0,0,1,0,1,1,1,0,1,0,1,0
3,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000026.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000026.png,0.55,0.7,0.9,0.45,0.65,1,0,0,0,1,1,0,0,2,0,1,0
4,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000040.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000040.png,0.75,0.55,0.7,0.55,0.55,0,0,2,1,0,0,2,0,0,0,1,0
5,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000067.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000067.png,0.85,0.8,0.9,0.7,0.5,1,0,1,0,2,0,1,0,0,1,0,0
6,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000068.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000068.png,0.4,0.4,0.55,0.6,0.45,0,1,0,0,0,3,0,1,0,0,1,0
7,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000084.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000084.png,1.0,0.75,0.9,0.65,0.7,0,2,0,0,0,1,1,0,1,1,0,0
8,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000086.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000086.png,0.45,0.6,0.8,0.65,0.45,0,0,0,0,1,0,2,1,1,1,0,0
9,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000097.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000097.png,0.85,0.5,0.95,0.75,0.6,1,0,0,1,0,1,1,1,0,0,1,0
10,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000101.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000101.png,0.65,0.5,0.9,0.65,0.75,0,0,1,2,0,0,0,0,2,0,1,0
11,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000104.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000104.png,0.55,0.5,0.55,0.55,0.6,0,0,2,0,0,0,1,0,2,0,1,0
12,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000110.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000110.png,0.5,0.55,0.65,0.5,0.7,2,0,2,0,0,0,0,0,1,0,1,0
13,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000111.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000111.png,0.45,0.6,0.95,0.45,0.5,2,0,0,0,2,0,1,0,0,1,0,0
14,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000115.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000115.png,0.8,0.7,0.75,0.75,0.8,1,0,0,0,0,1,1,0,2,0,1,0
15,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000134.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000134.png,0.55,0.3,0.65,0.35,0.4,1,0,0,2,0,1,0,1,0,0,1,0
16,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000136.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000136.png,0.5,0.6,0.85,0.45,0.35,0,0,0,0,0,0,1,2,2,1,0,0
17,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000148.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000148.png,0.8,0.65,0.65,0.75,0.65,0,0,1,2,0,1,1,0,0,0,1,0
18,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000155.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000155.png,0.75,0.45,0.75,0.65,0.7,1,0,0,0,0,1,2,1,0,1,0,0
19,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000158.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000158.png,0.7,0.55,0.8,0.75,0.55,1,0,2,0,1,0,0,0,1,0,1,0
20,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000160.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000160.png,0.4,0.45,0.7,0.55,0.6,0,0,0,2,0,1,0,2,0,0,1,0
21,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000163.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000163.png,0.65,0.7,0.85,0.25,0.65,1,0,0,1,0,1,1,1,0,0,1,0
22,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000177.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000177.png,0.9,0.8,0.85,0.4,0.6,0,0,2,0,0,0,1,0,2,0,1,0
23,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000183.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000183.png,0.7,0.75,0.9,0.5,0.45,0,0,1,1,0,0,0,3,0,1,0,0
24,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000185.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000185.png,0.65,0.65,0.8,0.6,0.65,0,0,1,0,1,0,0,1,2,1,0,0
25,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000186.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000186.png,0.55,0.55,0.65,0.5,0.3,0,0,1,0,0,1,1,1,1,0,1,0
26,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000218.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000218.png,0.55,0.6,0.75,0.15,0.75,0,0,0,1,0,0,0,1,3,0,0,1
27,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000237.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000237.png,0.4,0.7,0.9,0.8,0.8,0,0,0,1,2,1,0,1,0,1,0,0
28,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000241.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000241.png,0.95,0.55,0.85,0.7,0.65,0,0,0,1,0,1,0,1,2,0,1,0
29,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000256.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000256.png,0.7,0.7,0.85,0.6,0.7,0,0,1,0,0,1,0,1,2,0,1,0
30,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000259.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000259.png,0.65,0.65,0.9,0.55,0.7,0,0,1,2,0,1,1,0,0,0,1,0
31,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000266.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000266.png,0.85,0.5,0.6,0.2,0.65,1,0,0,2,0,0,0,0,2,0,1,0
32,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000268.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000268.png,0.6,0.7,0.9,0.65,0.75,0,0,0,1,1,1,1,0,1,0,1,0
33,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000295.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000295.png,0.85,0.95,0.7,0.4,0.6,0,0,2,0,0,0,2,1,0,1,0,0
34,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000306.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000306.png,0.65,0.55,0.6,0.5,0.7,0,0,1,2,0,0,2,0,0,0,1,0
35,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000324.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000324.png,0.7,0.55,0.9,0.65,0.45,0,0,1,3,0,0,1,0,0,0,1,0
36,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000325.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000325.png,0.35,0.85,0.65,0.5,0.5,1,0,0,0,1,0,1,2,0,1,0,0
37,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000347.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000347.png,0.65,0.75,0.8,0.65,0.6,0,0,1,2,0,2,0,0,0,0,1,0
38,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000350.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000350.png,0.55,0.55,0.55,0.65,0.55,0,0,0,0,1,1,2,0,1,1,0,0
39,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000352.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000352.png,0.65,0.5,0.85,0.5,0.5,1,0,0,0,0,1,0,3,0,1,0,0
40,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000375.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000375.png,0.65,0.45,0.5,0.55,0.65,0,0,0,0,1,1,0,3,0,1,0,0
41,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000377.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000377.png,0.65,0.7,0.7,0.5,0.55,0,0,1,1,0,1,0,2,0,0,1,0
42,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000380.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000380.png,0.65,0.65,0.95,0.7,0.65,0,0,2,2,0,0,1,0,0,0,1,0
43,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000385.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000385.png,0.85,0.75,0.85,0.6,0.65,0,0,1,2,0,0,1,1,0,0,1,0
44,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000389.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000389.png,0.8,0.65,0.6,0.1,0.65,0,0,0,2,0,2,0,0,1,0,1,0
45,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000391.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000391.png,0.7,0.55,0.8,0.6,0.55,0,0,1,0,1,1,0,0,2,0,1,0
46,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000407.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000407.png,0.65,0.7,0.85,0.65,0.8,0,0,2,1,0,1,1,0,0,0,1,0
47,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000413.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000413.png,0.7,0.65,0.9,0.5,0.65,0,0,2,3,0,0,0,0,0,0,1,0
48,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000449.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/KL-ST2_human_evaluation/highest_NN_dist000449.png,0.85,0.7,0.85,0.6,0.75,0,0,0,2,1,0,0,1,1,0,1,0
